value_id;source_product_code;source_service_code;source_service_char_code;source_field_number;source_column;target_attribute_path;default_value;value_type;apply_method;target_multiple_occurrence;rds_id;valid_from;valid_until;parent_service_code;som_attribute_path;prefix;dependent_char_code;main_bundle_access;sid_attribute_path;open_order_indicator;fixed_value;introduction_version;
BKSGC_5263;V0002;V0010;V0013;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ResponsibleDepartment.Existing;;;;;;;;
BKSGC_5264;V0002;V0010;V0123;;;;;CONFIGURED_VALUE;truncateString100;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationTAE.Existing;;;;;;;;
BKSGC_5265;V0002;V0010;V0138;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LineType.Existing;;;;;;;;
BKSGC_5266;V0002;V0010;V0094;;;;;CONFIGURED_VALUE;convertConnection;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.OldAccess.Existing;;;;;;;;
BKSGC_5267;V0002;V0010;V0153;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.IadPin.Existing;;;;;;;;
BKSGC_5268;V0002;V0010;V0144;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LineID.Existing;;;;;;;;
BKSGC_5269;V0002;V0010;I1323;;;;;CONFIGURED_VALUE;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.MultimediaPort.Existing;;;;;;;;
BKSGC_5270;V0002;V0003;V0014;1;STREET_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.StreetNumber;;;;;;;;
BKSGC_5271;V0002;V0003;V0014;;CITY_NAME;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.City;;;;;;;;
BKSGC_5272;V0002;V0003;V0014;;POSTAL_CODE;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.PostalCode;;;;;;;;
BKSGC_5273;V0002;V0003;V0014;2;STREET_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.StreetNumberSuffix;;;;;;;;
BKSGC_5274;V0002;V0003;V0014;;STREET_NAME;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.Street;;;;;;;;
BKSGC_5275;V0002;V0003;V0014;;POST_OFFICE_BOX;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.PostOfficeBox;;;;;;;;
BKSGC_5276;V0002;V0003;V0014;;CITY_SUFFIX_NAME;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.CitySuffix;;;;;;;;
BKSGC_5277;V0002;V0003;V0014;;STREET_NUMBER_SUFFIX;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.StreetNumberSuffix;;;;;;;;
BKSGC_5278;V0002;V0003;V0014;;COUNTRY_RD;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.LocationAddress.Existing.Country;;;;;;;;
BKSGC_5279;V0002;V0003;V0015;;ROOM_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Room;;;;;;;;
BKSGC_5280;V0002;V0003;V0015;;DESK_NUMBER;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Desk;;;;;;;;
BKSGC_5281;V0002;V0003;V0015;;JACK_LOCATION;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.JackLocation;;;;;;;;
BKSGC_5282;V0002;V0003;V0015;;FLOOR;;;ADDRESS;;N;;01.01.1979;01.01.3000;;Accesses.Isdn.IsdnConfiguration.ServiceLocation.Existing.Floor;;;;;;;;
